id,answer
1,411
2,10 years
3,Marquis Charles de La Valette
4,Martin
5,Menshikov
6,Battle
7,Nicholas
8,Malakoff
9,Nicholas I
10,October
11,Balkans
12,Sultan
13,Omar Pasha
14,Silistra
15,Mahmud II
16,May
17,201
18,British
19,Omar Pasha
20,In March
21,Treaty
22,Omar Pasha
23,Crimean War
24,30
25,Menshikov
26,The Times
27,Cronstadt
28,Preface
29,1821
30,Sultan Mahmud II
31,1826
32,Franco
33,1830
34,1830
35,Muhammad Ali
36,Mahmud II
37,Russian
38,1833
39,Muhammad Ali
40,Mahmud II
41,24-COMMA-1839
42,Muhammad Ali
43,1840
44,Andrew Lambert
45,Holy Alliance
46,1849
47,Nicholas
48,Muhammad Ali
49,Wild Fields
50,Russians
51,William Howard Russell
52,Nicholas
53,Ottoman Empire
54,Allied
55,Abdülmecid I
56,Rose
57,27
58,French
59,Marquis Charles de La Valette
60,Catholic
61,May
62,Russian Black Sea Fleet
63,Persians
64,Nicholas
65,Malakoff
66,Marquis Charles de La Valette
67,George Hamilton Seymour
68,George Hamilton Seymour
69,Prince Menshikov
70,105
71,Menshikov
72,Count Karl von Buol
73,La Valette
74,Rose
75,Constantinople
76,Nicholas I
77,Mikhail Gorchakov
78,Mikhail Gorchakov
79,Menshikov
80,1853
81,30
82,Cronstadt
83,Cronstadt
84,Nicholas
85,Russians
86,Count Karl von Buol
87,four powers
88,Nicholas I
89,Cronstadt
90,Russian
91,Battle
92,Battle
93,Ottoman
94,1854
95,Mahmud II
96,Burgoyne
97,Paris
98,Cowley
99,Cowley
100,1849
101,Nicholas
102,Nicholas I
103,Nicholas I
104,News
105,1853
106,Ottoman
107,Ottoman
108,Russian
109,Chetatea
110,Omar Pasha
111,Turkish
112,1848
113,23
114,June
115,Omar Pasha
116,280-COMMA-000 men
117,1855
118,Rose
119,Balaklava
120,French
121,Omar Pasha
122,176
123,In July
124,Abdülmecid I
125,Rossiya
126,British
127,Viktor Poplonsky
128,December
129,Mamelon
130,April
131,French
132,four 60
133,four 110
134,441 Emphasis
135,However
136,George Hamilton
137,seven columns
138,September
139,422
140,French
141,Katcha
142,424
